title,mean_rating,number_of_ratings
"Maltese Falcon, The (1941)",4.1693548387,62
"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",4.3461538462,13
Malèna (2000),3.25,2
Mama (2013),4.0,3
"Mambo Kings, The (1992)",2.75,2
Mamma Mia! (2008),2.8333333333,6
Mamma Roma (1962),3.0,1
"Man Apart, A (2003)",3.1428571429,7
"Man Between, The (1953)",4.0,1
Man Bites Dog (C'est arrivé près de chez vous) (1992),3.9375,8
"Man Called Horse, A (1970)",3.3333333333,3
"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956)",4.25,2
Man Facing Southeast (1986),4.0,1
Man Hunt (1941),4.0,1
Man Trouble (1992),2.0,1
"Man Who Came to Dinner, The (1942)",3.5,1
"Man Who Couldn't Say No, The (Mies joka ei osannut sanoa EI) (1975)",4.0,1
"Man Who Cried, The (2000)",3.0,1
"Man Who Fell to Earth, The (1976)",3.625,4
"Man Who Knew Too Little, The (1997)",3.4166666667,6
"Man Who Knew Too Much, The (1934)",3.6428571429,7
"Man Who Knew Too Much, The (1956)",3.5,12
"Man Who Loved Women, The (1983)",2.0,1
"Man Who Loved Women, The (Homme qui aimait les femmes, L') (1977)",2.0,1
"Man Who Never Was, The (1956)",3.0,1
"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)",4.0,1
"Man Who Saw Tomorrow, The (1980)",4.0,1
"Man Who Shot Liberty Valance, The (1962)",3.9583333333,12
"Man Who Wasn't There, The (2001)",3.575,20
"Man Who Would Be King, The (1975)",3.9130434783,23
"Man Without a Face, The (1993)",3.5,24
"Man Without a Past, The (Mies vailla menneisyyttä) (2002)",3.0,4
"Man and a Woman, A (Un homme et une femme) (1966)",3.5833333333,6
"Man for All Seasons, A (1966)",4.4090909091,11
"Man from Earth, The (2007)",3.9285714286,14
"Man from Laramie, The (1955)",4.5,1
Man from Reno (2014),3.5,1
"Man from Snowy River, The (1982)",3.3333333333,3
"Man from U.N.C.L.E., The (2015)",3.625,4
"Man in the Glass Booth, The (1975)",4.0,1
"Man in the Gray Flannel Suit, The (1956)",4.5,1
"Man in the Iron Mask, The (1939)",3.5,1
"Man in the Iron Mask, The (1998)",3.2258064516,31
"Man in the White Suit, The (1951)",3.625,4
Man of Aran (1934),3.0,1
Man of Iron (Czlowiek z Zelaza) (1981),2.75,2
Man of La Mancha (1972),2.5,1
Man of Marble (Czlowiek z Marmuru) (1977),3.0,1
"Man of No Importance, A (1994)",3.5,2
Man of Steel (2013),3.2727272727,11
Man of Tai Chi (2013),4.0,1
Man of the House (1995),3.0,6
Man of the House (2005),3.5,1
Man of the West (1958),4.0,1
Man of the Year (1995),2.5,2
Man of the Year (2006),2.5,5
Man on Fire (2004),3.8225806452,31
Man on Wire (2008),3.6666666667000003,6
Man on a Ledge (2012),3.5,1
Man on the Flying Trapeze (1935),3.0,1
Man on the Moon (1999),3.65625,32
"Man on the Train (Homme du train, L') (2002)",3.75,2
"Man with One Red Shoe, The (1985)",3.5,2
"Man with Two Brains, The (1983)",3.25,4
"Man with a Cloak, The (1951)",2.5,1
"Man with the Golden Arm, The (1955)",3.875,4
"Man with the Golden Gun, The (1974)",3.4107142857,28
Man with the Gun (1955),4.0,1
"Man with the Iron Fists, The (2012)",3.0,1
"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",4.0,2
Man with the Screaming Brain (2005),3.0,1
"Man, The (2005)",2.3333333333,3
Management (2008),3.0,1
"Manchurian Candidate, The (1962)",4.130952381,42
"Manchurian Candidate, The (2004)",3.28125,16
Mandela: Long Walk to Freedom (2013),3.0,1
Manderlay (2005),4.0,2
Mandingo (1975),4.0,1
Manhattan (1979),4.1,40
Manhattan Melodrama (1934),4.0,1
Manhattan Murder Mystery (1993),3.6428571429,14
"Manhattan Project, The (1986)",2.8333333333,3
Manhunter (1986),3.6785714285999997,14
Maniac (1980),3.0,1
Maniac (2012),3.5,1
Maniac Cop (1988),3.0,1
Maniac Cop 2 (1990),3.0,1
Manic (2001),4.5,1
"Manitou, The (1978)",1.0,1
Mannequin (1987),2.7142857143,7
Manny & Lo (1996),3.75,4
Manon of the Spring (Manon des sources) (1986),4.2272727273,22
Manos: The Hands of Fate (1966),4.0,1
Mansfield Park (1999),4.0833333333,6
Manufacturing Consent: Noam Chomsky and the Media (1992),4.25,2
"Many Adventures of Winnie the Pooh, The (1977)",3.5,1
Map of the Human Heart (1993),3.25,2
Map of the Sounds of Tokyo (2009),2.0,1
"Map of the World, A (1999)",3.0,1
Maps to the Stars (2014),2.5,1
Marat/Sade (1966),3.3333333333,3
Marathon Man (1976),4.1052631579,19
"March of the Penguins (Marche de l'empereur, La) (2005)",3.5909090909,11
Marci X (2003),2.0,1
Marco Polo: One Hundred Eyes (2015),4.0,1
Margaret (2011),3.0,3
Margaret's Museum (1995),4.0,3
Margin Call (2011),3.625,4
Margot at the Wedding (2007),1.75,2
"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",3.6666666667000003,3
"Mariachi, El (1992)",3.6136363636,22
Marie Antoinette (2006),2.8,5
Marie from the Bay of Angels (Marie Baie Des Anges) (1997),4.0,1
"Marine, The (2006)",1.7000000000000002,5
Marjoe (1972),2.5,2
Marjorie Morningstar (1958),4.0,1
"Mark of Zorro, The (1940)",3.3333333333,3
Mark of the Vampire (1935),3.0,1
Marked Woman (1937),3.0,1
Marked for Death (1990),2.3333333333,9
Marlene Dietrich: Shadow and Light (1996),4.0,1
Marley & Me (2008),3.5,12
Marley (2012),4.5,1
Marlowe (1969),2.0,1
Marmaduke (2010),1.0,1
Marnie (1964),3.375,4
Marriage Italian Style (Matrimonio all'italiana) (1964),4.0,1
Married Life (2007),3.5,3
Married to the Mob (1988),3.2272727273,11
Mars Attacks! (1996),2.9684210526,95
Mars Needs Moms (2011),3.0,2
Martha Marcy May Marlene (2011),4.0,2
Martian Child (2007),4.25,2
"Martian, The (2015)",3.9615384615,13
Martin (1977),1.0,1
Marty (1955),3.9285714286,7
Martyrs (2008),3.0,4
Marvin's Room (1996),3.7857142857,7
Mary Poppins (1964),3.962962963,54
Mary Reilly (1996),2.9545454545,11
Mary Shelley's Frankenstein (Frankenstein) (1994),3.0285714286,35
Mary and Martha (2013),2.5,1
Mary and Max (2009),4.1875,8
Mary of Scotland (1936),3.5,1
"Mary, Queen of Scots (1971)",3.0,1
Masculin Féminin (1966),1.5,1
Mask (1985),3.0714285714,7
"Mask of Dimitrios, The (1944)",3.5,1
"Mask of Fu Manchu, The (1932)",3.75,2
"Mask of Zorro, The (1998)",3.3615384615,65
"Mask, The (1994)",3.1130136986,146
Masquerade (1988),3.6666666667000003,3
Master and Commander: The Far Side of the World (2003),3.8064516129,31
"Master of Disguise, The (2002)",2.2,5
Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),3.5,1
"Master, The (1984)",3.0,1
"Master, The (2012)",3.6428571429,7
Masters of the Universe (1987),2.4,5
Mata Hari (1931),4.0,1
"Matador, The (2005)",3.125,8
"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",2.5,1
Match Point (2005),3.6315789474,19
"MatchMaker, The (1997)",2.3333333333,3
Matchstick Men (2003),3.5416666667,24
Material Girls (2006),2.5,1
Matewan (1987),3.9375,8
Matilda (1996),3.2222222222,27
Matinee (1993),3.0,1
"Matrix Reloaded, The (2003)",3.29375,80
"Matrix Revolutions, The (2003)",3.1746031746,63
"Matrix, The (1999)",4.2643678161,261
"Matter of Life and Death, A (Stairway to Heaven) (1946)",3.25,2
Matti: Hell Is for Heroes (Matti) (2006),3.5,1
Maurice (1987),2.5,2
Maverick (1994),3.5470588235,85
Max (2002),4.0,1
Max Dugan Returns (1983),3.0,2
Max Keeble's Big Move (2001),2.5,1
Max Manus (2008),3.3333333333,3
Max Payne (2008),3.0833333333,6
"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders (2006)",3.0,1
Maximum Overdrive (1986),1.8333333333000001,3
Maximum Risk (1996),3.1111111111,9
May (2002),3.5,3
Maya Lin: A Strong Clear Vision (1994),4.0,1
"Maze Runner, The (2014)",3.6666666667000003,9
Maze Runner: Scorch Trials (2015),4.5,2
McCabe & Mrs. Miller (1971),3.9615384615,13
McHale's Navy (1997),2.25,4
McLintock! (1963),4.0,1
Me Myself I (2000),3.125,4
Me Without You (2001),4.0,1
Me and Earl and the Dying Girl (2015),3.5,1
Me and Orson Welles (2008),3.0,3
Me and You and Everyone We Know (2005),4.0,2
"Me, Myself & Irene (2000)",3.0394736842,38
Mean Creek (2004),3.4,5
Mean Girls (2004),3.6153846154,26
Mean Machine (2001),4.0,2
"Mean Season, The (1985)",2.0,1
Mean Streets (1973),4.0625,8
Meatballs (1979),2.7142857143,7
Meatballs 4 (1992),2.0,2
Meatballs III (1987),0.75,2
Meatballs Part II (1984),1.0,2
"Mechanic, The (1972)",2.5,1
"Mechanic, The (2011)",3.3125,8
"Medallion, The (2003)",1.8333333333000001,3
Medea (1970),4.0,1
Medea (1988),4.5,1
Medicine Man (1992),2.75,10
Mediterraneo (1991),3.5,4
Medium Cool (1969),2.0,1
Meek's Cutoff (2010),4.0,1
Meet Bill (2007),3.5,1
Meet Dave (2008),2.5,1
Meet Joe Black (1998),2.95,20
Meet John Doe (1941),3.7,5
Meet Me in St. Louis (1944),3.6153846154,13
Meet Wally Sparks (1997),2.0,1
Meet the Applegates (1991),1.0,1
Meet the Deedles (1998),1.0,1
Meet the Feebles (1989),4.1666666667,3
Meet the Fockers (2004),3.0833333333,18
Meet the Parents (2000),3.3802816901,71
Meet the Robinsons (2007),3.1,5
Meet the Spartans (2008),1.125,4
Megaforce (1982),3.5,1
Megamind (2010),3.8157894736999998,19
Melancholia (2011),3.1,5
Melinda and Melinda (2004),3.125,8
Melody Time (1948),4.0,1
Melvin and Howard (1980),3.125,4
Memento (2000),4.0576923077,156
Memento Mori (Yeogo goedam II) (1999),2.5,1
Memoirs of a Geisha (2005),3.65,10
Memoirs of an Invisible Man (1992),2.6666666667000003,6
Memories (Memorîzu) (1995),5.0,2
Memories of Me (1988),2.0,1
Memories of Murder (Salinui chueok) (2003),4.75,4
"Memory of a Killer, The (Zaak Alzheimer, De) (2003)",3.5,1
Memphis Belle (1990),3.4545454545,11
Men Don't Leave (1990),2.1666666667,6
"Men Who Stare at Goats, The (2009)",3.1785714286,14
Men at Work (1990),2.1428571429,7
Men in Black (a.k.a. MIB) (1997),3.6279069767000003,172
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),2.8979591837000003,49
Men in Black III (M.III.B.) (M.I.B.³) (2012),3.9090909091,11
Men of Honor (2000),3.8333333333,18
Men with Brooms (2002),2.8333333333,3
Men with Guns (1997),3.8,5
"Men, The (1950)",3.0,1
Menace II Society (1993),3.7142857143,21
Mephisto (1981),3.0,5
Merantau (2009),3.5,1
"Merchant of Venice, The (2004)",3.4166666667,6
Mercury Rising (1998),3.2142857143,7
Mercy (2000),2.0,2
Mermaids (1990),3.5,2
Merrill's Marauders (1962),3.0,1
Merrily We Live (1938),3.0,1
Merry Christmas Mr. Lawrence (1983),2.75,2
"Merry Gentleman, The (2008)",3.0,1
Merry Madagascar (2009),3.5,1
"Merry War, A (1997)",3.0,1
Mesrine: Killer Instinct (L'instinct de mort) (2008),3.625,4
Mesrine: Public Enemy #1 (L'ennemi public n°1) (2008),4.1666666667,3
Message in a Bottle (1999),3.2222222222,9
"Messenger, The (2009)",4.0,3
"Messenger: The Story of Joan of Arc, The (1999)",3.2727272727,11
"Messengers, The (2007)",3.0,2
Metal: A Headbanger's Journey (2005),4.0,2
Metallica: Some Kind of Monster (2004),3.625,4
Metalstorm: The Destruction of Jared-Syn (1983),2.0,1
"Meteor Man, The (1993)",2.0,2
Metro (1997),2.5833333333,6
Metroland (1997),2.6666666667000003,3
Metropia (2009),4.25,2
Metropolis (1927),4.1379310345,29
Metropolis (2001),3.625,12
Metropolitan (1990),3.5,9
"Mexican, The (2001)",3.0416666667,24
Miami Blues (1990),3.5,3
Miami Rhapsody (1995),3.0,1
Miami Vice (2006),2.4090909091,11
Michael (1996),3.0517241379,29
Michael (2011),4.0,1
Michael Clayton (2007),3.5961538462,26
Michael Collins (1996),3.8421052632,19
Mickey Blue Eyes (1999),2.4545454545,22
Micki + Maude (1984),2.75,2
Micmacs (Micmacs à tire-larigot) (2009),3.9,5
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),4.0,11
Mid-August Lunch (Pranzo di ferragosto) (2008),2.0,1
Middle Men (2009),3.5,1
Midnight (1939),4.0,1
"Midnight Clear, A (1992)",3.5,2
Midnight Cowboy (1969),3.9230769231,39
Midnight Express (1978),3.34375,16
"Midnight Meat Train, The (2008)",2.625,4
Midnight Run (1988),3.9473684211,19
Midnight in Paris (2011),3.7222222222,9
Midnight in the Garden of Good and Evil (1997),2.86,25
Midnight's Children (2012),1.5,1
"Midsummer Night's Dream, A (1935)",3.0,1
"Midsummer Night's Sex Comedy, A (1982)",2.5,3
Midway (1976),3.875,4
Mifune's Last Song (Mifunes sidste sang) (1999),3.5,2
Mighty Aphrodite (1995),3.5810810811,37
"Mighty Ducks, The (1992)",2.9318181818,22
"Mighty Heart, A (2007)",3.375,4
Mighty Joe Young (1949),2.75,4
Mighty Joe Young (1998),3.0,4
Mighty Morphin Power Rangers: The Movie (1995),1.0,7
"Mighty Quinn, The (1989)",3.0,1
"Mighty Wind, A (2003)",3.8,10
"Mighty, The (1998)",3.0,7
Mike's Murder (1984),2.0,1
Milagro Beanfield War (1988),3.25,2
Mildred Pierce (1945),4.0,5
Mildred Pierce (2011),2.25,2
Milk (2008),3.7272727273,11
Milk Money (1994),3.2333333333,15
"Mill and the Cross, The (2011)",3.0,1
Millennium (1989),2.5,2
Millennium Actress (Sennen joyû) (2001),4.25,2
Miller's Crossing (1990),4.2142857143,28
Million Dollar Baby (2004),3.9625,40
"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",3.0,1
"Million Dollar Hotel, The (2001)",2.0,1
Millions (2004),3.6666666667000003,6
Mimic (1997),2.6333333333,15
Mimic 2 (2001),1.0,1
Mimic: Sentinel (2003),2.25,2
Mindhunters (2004),2.3,5
Minions (2015),3.8,5
Ministry of Fear (1944),3.5,1
Minority Report (2002),3.6851851852,108
"Minus Man, The (1999)",3.5,2
Miracle (2004),3.7777777778,9
"Miracle of Morgan's Creek, The (1944)",2.5,1
Miracle on 34th Street (1947),3.7777777778,18
Miracle on 34th Street (1994),3.3333333333,39
Mirage (1965),4.0,1
"Mirror Has Two Faces, The (1996)",3.2857142857,14
"Mirror, The (Zerkalo) (1975)",4.0,3
MirrorMask (2005),3.55,10
Mirrors (2008),3.6,5
Misery (1990),3.743902439,41
"Misfits, The (1961)",2.5,1
Mishima: A Life in Four Chapters (1985),3.75,2
Miss Bala (2011),3.0,2
Miss Congeniality (2000),3.1914893617,47
Miss Congeniality 2: Armed and Fabulous (2005),1.7857142857000001,7
Miss Firecracker (1989),2.0,1
Miss Meadows (2014),1.5,1
Miss Pettigrew Lives for a Day (2008),3.3333333333,3
Miss Potter (2006),3.375,4
Missing (1982),3.25,2
"Missing Person, The (2009)",1.0,1
Missing in Action (1984),2.3333333333,3
Missing in Action 2: The Beginning (1985),1.75,2
"Missing, The (2003)",3.0,3
Mission to Mars (2000),2.6333333333,30
"Mission, The (1986)",4.0,9
Mission: Impossible (1996),3.4421965318,173
Mission: Impossible - Ghost Protocol (2011),3.55,20
Mission: Impossible - Rogue Nation (2015),3.3571428571,7
Mission: Impossible II (2000),2.7933333333,75
Mission: Impossible III (2006),3.3095238095,21
"Missionary, The (1982)",3.0,1
Mississippi Burning (1988),3.7380952381,21
Mississippi Masala (1991),3.0,1
"Mississippi Mermaid (Sirène du Mississipi, La) (1969)",2.75,2
"Mist, The (2007)",3.5,14
Mister Roberts (1955),4.0555555556,18
"Misérables, Les (1935)",4.0,1
"Misérables, Les (1995)",4.15,10
"Misérables, Les (1998)",3.8,10
"Misérables, Les (2012)",3.0833333333,6
Mixed Nuts (1994),2.2,5
Mo' Better Blues (1990),3.0,1
"Mob, The (1951)",3.0,1
Moby Dick (1956),2.6666666667000003,3
"Mod Squad, The (1999)",1.6666666667,6
Modern Problems (1981),3.5,1
Modern Romance (1981),2.5,1
Modern Times (1936),3.9545454545,22
Moebius (2013),4.0,1
Mogambo (1953),2.75,2
"Moine, Le (Monk, The) (2011)",3.0,1
"Mole People, The (1956)",3.3333333333,3
Moll Flanders (1996),3.6875,8
Mom and Dad Save the World (1992),1.75,2
Mommie Dearest (1981),3.5,5
Mon Oncle (My Uncle) (1958),2.0,1
Mon oncle d'Amérique (1980),1.5,1
Mona Lisa (1986),3.9285714286,7
Mona Lisa Smile (2003),2.9,5
Monday (2000),4.0,1
"Money Pit, The (1986)",2.71875,16
Money Talks (1997),3.2,5
Money Train (1995),3.15625,16
Moneyball (2011),4.0588235294,17
Mongol (2007),2.5,4
Monkey Business (1931),4.0,4
Monkey Business (1952),2.5,4
Monkey Shines (1988),2.9166666667000003,6
Monkey Trouble (1994),2.0,2
Monkeybone (2001),2.9,5
Monsieur Hire (1989),2.75,2
Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),3.0,2
Monsieur Lazhar (2011),3.25,2
Monsoon Wedding (2001),4.2083333333,12
Monster (2003),3.6071428571,14
Monster House (2006),3.0,6
"Monster Squad, The (1987)",3.2142857143,7
Monster's Ball (2001),3.5571428571,35
"Monster, The (Mostro, Il) (1994)",4.0,1
Monster-in-Law (2005),2.7,5
Monsters (2010),3.0,3
Monsters University (2013),4.0555555556,9
Monsters vs Aliens: Mutant Pumpkins from Outer Space (2009),2.5,1
Monsters vs. Aliens (2009),3.3333333333,6
"Monsters, Inc. (2001)",3.8793103448,116
Montenegro (1981),3.0,1
Monterey Pop (1968),4.0,3
"Month by the Lake, A (1995)",3.6666666667000003,3
"Month in the Country, A (1987)",2.5,1
Monty Python Live at the Hollywood Bowl (1982),3.85,10
Monty Python and the Holy Grail (1975),4.3019480519,154
Monty Python's And Now for Something Completely Different (1971),4.0441176471,34
Monty Python's Life of Brian (1979),3.8106796117,103
Monty Python's The Meaning of Life (1983),3.9239130435,46
"Monuments Men, The (2014)",3.625,4
Moon (2009),4.0625,40
Moon Over Parador (1988),2.9,5
Moonlight Mile (2002),3.5,3
Moonlight and Valentino (1995),3.0,6
Moonlighting (1982),2.75,2
Moonraker (1979),3.0961538462,26
Moonrise Kingdom (2012),4.25,16
Moonstruck (1987),3.775,40
Moonwalker (1988),2.0,1
Mooz-lum (2011),2.5,1
More (1998),5.0,1
More American Graffiti (1979),2.0,1
"More the Merrier, The (1943)",3.5,1
Morgan Stewart's Coming Home (1987),3.5,1
Morgan! (1966),4.0,1
"Morning After, The (1986)",3.1666666667,6
Morning Glory (1933),3.5,1
Morning Glory (2010),3.75,4
Morocco (1930),4.0,1
"Mortal Instruments: City of Bones, The (2013)",3.25,2
Mortal Kombat (1995),2.7075471697999998,53
Mortal Kombat: Annihilation (1997),2.0,18
"Mortal Storm, The (1940)",4.0,1
Mortal Thoughts (1991),3.3333333333,3
Mortdecai (2015),2.5,1
Morvern Callar (2002),4.5,1
Moscow Does Not Believe in Tears (Moskva slezam ne verit) (1979),4.0,3
Moscow on the Hudson (1984),3.0,1
"Mosquito Coast, The (1986)",2.8076923077,13
"Most Dangerous Game, The (1932)",4.0,1
"Most Hated Family in America, The (2007)",4.5,1
Mostly Martha (Bella Martha) (2001),4.2,5
Mother (1996),3.1666666667,9
Mother (Madeo) (2009),2.8333333333,3
Mother Night (1996),3.3333333333,3
Mother and Child (2009),3.0,1
"Mother, Jugs & Speed (1976)",3.5,1
Motherhood (2009),1.0,1
"Mothman Prophecies, The (2002)",2.6666666667000003,12
Mothra (Mosura) (1961),5.0,1
"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",3.8611111111,18
Mouchette (1967),4.0,1
Moulin Rouge (1952),3.75,2
Moulin Rouge (2001),3.7608695652,46
Mountains of the Moon (1990),3.5,2
Mouse Hunt (1997),2.8333333333,15
"Mouse That Roared, The (1959)",3.3,5
Movie 43 (2013),3.25,2
Movie Movie (1978),2.0,1
Moving (1988),3.0,1
Moving Out (1983),1.0,1
Mozart and the Whale (2005),3.5,1
"Mozart's Sister (Nannerl, la soeur de Mozart) (2011)",3.0,1
Mr. & Mrs. Smith (1941),3.3,5
Mr. & Mrs. Smith (2005),3.05,40
Mr. Baseball (1992),2.5,3
Mr. Bean's Holiday (2007),3.6666666667000003,3
Mr. Blandings Builds His Dream House (1948),4.0,3
Mr. Brooks (2007),3.9545454545,11
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",4.0,2
Mr. Deeds (2002),2.75,12
Mr. Deeds Goes to Town (1936),2.0,1
Mr. Destiny (1990),4.5,1
Mr. Hobbs Takes a Vacation (1962),4.0,1
Mr. Holland's Opus (1995),3.8736263736,91
Mr. Holmes (2015),3.0,2
Mr. Jealousy (1997),3.0,2
Mr. Jones (1993),2.0,2
Mr. Lucky (1943),2.5,1
Mr. Magoo (1997),1.5,2
Mr. Majestyk (1974),2.75,2
Mr. Mom (1983),3.1578947368,19
Mr. Nice Guy (Yat goh ho yan) (1997),3.1428571429,7
Mr. Nobody (2009),4.2,5
Mr. Popper's Penguins (2011),2.75,4
Mr. Saturday Night (1992),2.125,4
Mr. Skeffington (1944),3.5,1
Mr. Smith Goes to Washington (1939),3.8928571429,28
Mr. Turner (2014),4.0,1
Mr. Warmth: The Don Rickles Project (2007),3.0,1
Mr. Wonderful (1993),2.5,4
Mr. Woodcock (2007),2.9,5
Mr. Wrong (1996),2.7142857143,7
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",3.4090909091,11
Mrs. Dalloway (1997),4.3333333333,3
Mrs. Doubtfire (1993),3.328313253,166
Mrs. Henderson Presents (2005),3.1666666667,3
Mrs. Miniver (1942),4.1428571429,7
Mrs. Palfrey at the Claremont (2005),3.0,1
Mrs. Parker and the Vicious Circle (1994),3.6666666667000003,3
Mrs. Soffel (1984),2.0,2
Mrs. Winterbourne (1996),2.4,5
Ms. 45 (a.k.a. Angel of Vengeance) (1981),2.0,1
Much Ado About Nothing (1993),3.9402985075,67
Much Ado About Nothing (2012),3.5,1
Mud (2012),4.0,5
Muhammad Ali's Greatest Fight (2013),3.75,2
Mulan (1998),3.8088235294,34
Mulan (2009),3.0,1
Mulberry Street (2006),1.0,1
Mulholland Drive (2001),3.8255813953,43
Mulholland Falls (1996),3.152173913,23
Multiplicity (1996),2.8333333333,42
Mumford (1999),3.0,11
"Mummy Returns, The (2001)",3.3513513514,37
"Mummy's Curse, The (1944)",3.1666666667,3
"Mummy's Ghost, The (1944)",3.0,1
"Mummy's Hand, The (1940)",5.0,1
"Mummy's Tomb, The (1942)",2.5,1
"Mummy, The (1932)",3.4,10
"Mummy, The (1959)",2.5,2
"Mummy, The (1999)",3.1888888889,90
"Mummy: Tomb of the Dragon Emperor, The (2008)",2.5,11
Munich (2005),3.5416666667,24
"Muppet Christmas Carol, The (1992)",3.6666666667000003,15
"Muppet Movie, The (1979)",3.7857142857,35
Muppet Treasure Island (1996),3.4210526316,38
Muppets From Space (1999),3.0,7
"Muppets Take Manhattan, The (1984)",3.5,12
"Muppets, The (2011)",3.25,4
Murder at 1600 (1997),2.9705882353,17
Murder at the Gallop (1963),2.5,1
Murder by Death (1976),3.5,9
Murder by Numbers (2002),2.9,10
Murder in the First (1995),3.425,20
"Murder of Crows, A (1998)",2.5,1
Murder on the Orient Express (1974),3.3571428571,7
"Murder, My Sweet (1944)",3.9,5
Murderball (2005),4.25,4
"Murderer Lives at Number 21, The (L'assassin habite... au 21) (1942)",3.0,1
Murders in the Rue Morgue (1932),3.0,1
Muriel's Wedding (1994),3.7888888889,45
Murmur of the Heart (Le souffle au coeur) (1971),3.0,1
Murphy's Law (1986),3.0,3
Murphy's Romance (1985),3.8,5
"Muse, The (1999)",2.0,5
Museum Hours (2013),2.5,1
Music Box (1989),2.75,2
Music From Another Room (1998),3.0,3
"Music Man, The (1962)",2.5,3
Music and Lyrics (2007),3.1666666667,6
Music of the Heart (1999),3.3333333333,3
"Musketeer, The (2001)",2.625,8
Must Love Dogs (2005),2.3333333333,3
Mutant Aliens (2001),4.5,1
Mutant Chronicles (2008),4.0,1
Mute Witness (1994),3.0,2
Mutiny on the Bounty (1935),3.8214285714000003,14
Mutiny on the Bounty (1962),3.75,2
My Architect: A Son's Journey (2003),3.25,2
My Beautiful Laundrette (1985),3.75,4
My Best Friend's Girl (2008),3.3333333333,3
My Best Friend's Wedding (1997),3.4090909091,44
My Big Fat Greek Wedding (2002),3.7142857143,42
My Bloody Valentine (1981),2.0,1
My Bloody Valentine 3-D (2009),3.75,2
My Blue Heaven (1990),2.8,10
My Blueberry Nights (2007),4.5,1
My Bodyguard (1980),3.6428571429,7
My Boss's Daughter (2003),2.5,1
My Boyfriend's Back (1993),1.0,2
My Brilliant Career (1979),2.0,1
My Brother Is an Only Child (Mio fratello è figlio unico) (2006),3.5,1
My Chauffeur (1986),4.0,1
My Cousin Vinny (1992),3.7213114754000003,61
My Crazy Life (Mi vida loca) (1993),4.0,2
My Darling Clementine (1946),4.6666666667,3
My Date with Drew (2004),0.5,1
My Demon Lover (1987),1.0,1
My Dinner with André (1981),2.8333333333,3
My Dog Skip (1999),3.5,12
My Dog Tulip (2009),2.0,1
My Fair Lady (1964),4.17,50
My Family (1995),3.5,6
My Father's Glory (La gloire de mon père) (1990),1.0,1
My Favorite Blonde (1942),3.5,1
My Favorite Brunette (1947),3.5,2
My Favorite Martian (1999),1.5,3
My Favorite Season (1993),3.5,2
My Favorite Wife (1940),4.25,2
My Favorite Year (1982),4.0,14
My Fellow Americans (1996),3.25,4
My First Mister (2001),2.0,1
My Forbidden Past (1951),3.0,1
My Girl (1991),3.6666666667000003,6
My Girl 2 (1994),2.5,2
My Girlfriend's Boyfriend (2010),3.0,1
My Kid Could Paint That (2007),3.0,1
My Left Foot (1989),3.8913043478000002,23
My Life (1993),3.0,3
My Life So Far (1999),4.0,1
My Life as a Dog (Mitt liv som hund) (1985),3.84375,16
My Life in Pink (Ma vie en rose) (1997),3.8125,8
My Life in Ruins (2009),2.0,1
My Little Chickadee (1940),3.5,1
My Man Godfrey (1936),3.8333333333,6
My Man Godfrey (1957),4.0,1
My Mom's New Boyfriend (2008),2.5,1
"My Mother's Castle (Château de ma mère, Le) (1990)",3.0,1
My Name Is Bruce (2007),4.0,1
My Name Is Joe (1998),3.6666666667000003,3
My Name Is Julia Ross (1945),4.0,1
My Name Is Nobody (Il Mio nome è Nessuno) (1973),4.0,1
My Neighbor Totoro (Tonari no Totoro) (1988),4.3214285714,28
My Night At Maud's (Ma Nuit Chez Maud) (1969),2.5,1
My One and Only (2009),3.5,1
My Own Private Idaho (1991),3.3333333333,18
My Sassy Girl (2008),5.0,1
My Sassy Girl (Yeopgijeogin geunyeo) (2001),4.5,1
My Science Project (1985),3.0,3
My Sister's Keeper (2009),3.5,2
My Son the Fanatic (1997),4.0,2
My Soul to Take (2010),3.25,2
My Stepmother Is an Alien (1988),2.2857142857,7
My Summer of Love (2004),3.1666666667,3
My Super Ex-Girlfriend (2006),1.9285714286000002,7
My Tutor (1983),1.0,1
My Voyage to Italy (Il mio viaggio in Italia) (1999),2.0,2
My Week with Marilyn (2011),3.0,1
Mysteries of Lisbon (Mistérios de Lisboa) (2010),3.0,1
"Mysteries of Pittsburgh, The (2008)",1.5,1
Mysterious Skin (2004),3.0,1
Mystery Men (1999),2.8947368421,38
Mystery Science Theater 3000: The Movie (1996),3.1,30
Mystery Street (1950),2.5,1
Mystery Team (2009),4.0,1
